HourlyRate,DailyRate
30,240
31,248
32,256
33,264
34,272
35,280
36,288
37,296
38,304
39,312
40,320
41,328
42,336
43,344
44,352
45,360
46,368
47,376
48,384
49,392
50,400
51,408
52,416
53,424
54,432
55,440
56,448
57,456
58,464
59,472
60,480
61,488
62,496
63,504
64,512
65,520
66,528
67,536
68,544
69,552
70,560
71,568
72,576
73,584
74,592
75,600
76,608
77,616
78,624
79,632
80,640
81,648
82,656
83,664
84,672
85,680
86,688
87,696
88,704
89,712
90,720
91,728
92,736
93,744
94,752
95,760
96,768
97,776
98,784
99,792
100,800
